Model,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Sales_Volume,Sales_Classification,Car_Age
M3,North America,White,Hybrid,Manual,1.8,3889,2982,Low,14
M5,South America,White,Electric,Automatic,2.3,96686,5792,Low,0
5 Series,Africa,Grey,Hybrid,Automatic,4.6,125718,1110,Low,12
5 Series,Asia,Blue,Hybrid,Automatic,2.3,32029,621,Low,9
M3,South America,Silver,Diesel,Manual,4.7,26580,6011,Low,0
i8,Africa,Black,Electric,Automatic,3.5,84086,9092,High,0
X5,South America,Blue,Petrol,Automatic,4.8,199519,2457,Low,12
i3,North America,Grey,Diesel,Automatic,3.3,50261,1941,Low,3
7 Series,South America,White,Petrol,Manual,2.1,124782,7286,High,12
X5,Middle East,Silver,Diesel,Automatic,1.6,12440,7691,High,7
X6,Asia,Red,Petrol,Automatic,4.2,196848,1894,Low,13
X3,Middle East,Grey,Petrol,Manual,4.8,113801,7996,High,12
X5,North America,Silver,Hybrid,Automatic,4.5,43354,3402,Low,1
5 Series,Middle East,Red,Petrol,Manual,1.7,59160,8543,High,13
5 Series,Africa,Blue,Diesel,Manual,2.2,98284,5337,Low,14
i3,Asia,Silver,Electric,Automatic,2.8,102220,2026,Low,2
3 Series,Africa,Black,Petrol,Manual,1.9,151491,9960,High,14
3 Series,North America,White,Petrol,Automatic,3.6,33197,7644,High,2
5 Series,Africa,Grey,Hybrid,Manual,4.9,156194,8890,High,7
i8,North America,Silver,Hybrid,Manual,4.8,182986,3374,Low,9
M5,Europe,Grey,Diesel,Automatic,4.5,144005,6228,Low,11
X6,Europe,Silver,Electric,Automatic,1.9,153583,9712,High,11
X6,Europe,Black,Petrol,Automatic,2.1,43382,5640,Low,8
7 Series,Middle East,White,Petrol,Automatic,3.3,7624,707,Low,0
X1,South America,Silver,Petrol,Manual,4.1,80981,6720,Low,1
X5,South America,White,Diesel,Automatic,3.6,64662,9714,High,5
X3,Middle East,Silver,Petrol,Automatic,2.2,196740,7601,High,8
i8,South America,Grey,Hybrid,Automatic,4.3,46875,3772,Low,7
X1,Middle East,White,Electric,Automatic,3.9,160614,7685,High,10
i3,North America,Red,Diesel,Manual,1.6,137922,9444,High,5
i3,Europe,White,Hybrid,Automatic,4.5,165335,6325,Low,4
M5,South America,Grey,Hybrid,Manual,4.2,87132,1611,Low,6
i8,Africa,Silver,Hybrid,Manual,2.8,55777,8756,High,6
i3,Europe,Grey,Electric,Manual,4.6,127311,2966,Low,0
i3,Middle East,White,Diesel,Manual,2.4,195633,8329,High,7
M3,Africa,White,Hybrid,Manual,2.0,1811,8578,High,3
X5,South America,Blue,Petrol,Manual,3.4,63015,3999,Low,3
X1,Europe,Red,Hybrid,Automatic,4.8,184535,9506,High,0
3 Series,Middle East,Grey,Diesel,Automatic,2.2,48235,3604,Low,7
5 Series,South America,Red,Petrol,Automatic,3.5,133294,4746,Low,0
M5,Europe,Blue,Electric,Manual,4.5,31492,8462,High,2
M3,Europe,Red,Electric,Manual,1.9,37463,2813,Low,13
3 Series,Asia,Red,Petrol,Manual,3.1,103102,6664,Low,13
X1,Africa,Red,Electric,Automatic,3.0,40102,8479,High,6
7 Series,South America,Grey,Hybrid,Manual,2.6,53396,615,Low,8
3 Series,South America,Silver,Electric,Automatic,2.4,27699,9479,High,7
i3,Asia,Red,Electric,Manual,2.7,154612,3903,Low,8
5 Series,Africa,Black,Diesel,Manual,4.7,55437,8066,High,10
X5,Asia,Silver,Hybrid,Manual,3.3,48726,1031,Low,2
3 Series,Asia,Silver,Electric,Automatic,3.6,114805,7857,High,8
i8,South America,Silver,Electric,Manual,2.7,4723,1763,Low,13
M5,Asia,Black,Electric,Manual,3.5,82655,5995,Low,4
7 Series,Middle East,Grey,Petrol,Automatic,2.5,160119,8994,High,13
X1,South America,Black,Hybrid,Manual,1.8,22083,1204,Low,2
7 Series,South America,Grey,Electric,Manual,3.8,174388,6038,Low,2
5 Series,Middle East,Red,Diesel,Automatic,2.9,75773,792,Low,11
M5,Africa,Black,Hybrid,Automatic,2.6,83338,6649,Low,1
5 Series,Middle East,Grey,Diesel,Manual,4.3,106769,6280,Low,2
7 Series,Asia,White,Petrol,Automatic,4.5,1392,1206,Low,1
7 Series,Europe,White,Petrol,Manual,2.0,5662,3841,Low,7
X6,Africa,Silver,Petrol,Automatic,3.8,129541,8107,High,5
7 Series,Africa,Silver,Petrol,Automatic,3.7,77641,2510,Low,13
7 Series,Asia,White,Diesel,Automatic,3.7,51431,7154,High,11
3 Series,Europe,Black,Petrol,Automatic,4.1,156762,8893,High,4
X1,Europe,Black,Diesel,Manual,4.2,162827,4065,Low,8
i3,North America,Silver,Electric,Automatic,4.5,72800,923,Low,0
7 Series,Europe,Red,Petrol,Manual,3.6,87026,4040,Low,0
X6,Europe,Grey,Hybrid,Automatic,4.8,66504,1151,Low,7
X5,North America,Grey,Hybrid,Manual,2.6,86416,1073,Low,4
X5,Middle East,Blue,Petrol,Automatic,1.7,150601,8701,High,11
M3,North America,Silver,Petrol,Manual,2.4,193125,8754,High,2
X6,Europe,Grey,Petrol,Manual,3.1,162748,4585,Low,12
3 Series,Africa,Red,Hybrid,Manual,4.4,188688,9319,High,1
i3,North America,Blue,Diesel,Manual,4.1,69828,3364,Low,9
i3,Europe,Silver,Electric,Automatic,4.9,121251,9613,High,5
i3,North America,Silver,Petrol,Manual,3.0,27046,3203,Low,9
M3,Asia,Black,Petrol,Automatic,1.9,104566,2131,Low,4
M3,South America,Silver,Electric,Manual,3.5,51936,2991,Low,8
X6,Africa,Grey,Diesel,Manual,3.2,64222,2175,Low,6
X3,Middle East,Grey,Hybrid,Automatic,4.9,52807,3924,Low,13
X1,South America,Silver,Petrol,Manual,3.5,32166,4104,Low,12
X1,Middle East,Blue,Electric,Manual,4.4,26567,8943,High,13
M5,Africa,Blue,Diesel,Manual,2.1,193244,2381,Low,5
X1,Asia,Silver,Diesel,Manual,4.1,96518,5647,Low,12
M5,North America,Black,Petrol,Automatic,3.2,129201,9748,High,1
X6,Middle East,Blue,Petrol,Manual,2.3,60731,475,Low,12
3 Series,South America,Grey,Hybrid,Automatic,2.0,83119,6474,Low,14
X3,Asia,White,Hybrid,Manual,3.5,57021,4010,Low,4
3 Series,Europe,Red,Hybrid,Manual,2.1,45008,5895,Low,2
X1,Africa,Black,Diesel,Manual,1.5,17503,2670,Low,8
3 Series,Middle East,Blue,Petrol,Automatic,3.9,74001,8994,High,3
5 Series,South America,Silver,Petrol,Manual,4.0,174043,5175,Low,5
X5,Europe,Silver,Petrol,Manual,3.9,73732,6990,Low,5
3 Series,North America,Grey,Petrol,Manual,4.6,57692,705,Low,14
M3,South America,Red,Electric,Automatic,3.3,121700,4961,Low,2
X5,South America,Red,Petrol,Manual,3.7,114335,9805,High,14
X5,Africa,Red,Petrol,Manual,4.5,31031,8023,High,5
M3,South America,Red,Petrol,Automatic,3.5,126203,1999,Low,0
X1,North America,Red,Electric,Automatic,4.7,191663,4401,Low,13
5 Series,Asia,Grey,Diesel,Automatic,3.5,16694,9740,High,14
3 Series,Africa,White,Hybrid,Automatic,4.9,134425,6559,Low,5
X6,North America,Black,Electric,Automatic,3.3,144720,8274,High,14
X3,Africa,White,Diesel,Manual,2.4,23918,817,Low,1
M3,Asia,Red,Electric,Manual,2.1,49876,7094,High,4
7 Series,Asia,Black,Hybrid,Manual,1.8,172397,6571,Low,4
M3,Africa,Red,Petrol,Automatic,3.1,193447,9819,High,11
i8,Middle East,Blue,Electric,Manual,1.9,53853,240,Low,11
i3,Africa,Blue,Petrol,Manual,4.6,176576,6082,Low,10
7 Series,South America,Black,Diesel,Manual,3.4,136535,9029,High,9
5 Series,Middle East,Blue,Hybrid,Automatic,3.9,109038,5736,Low,4
i8,Europe,Black,Diesel,Manual,1.5,65492,7533,High,7
i3,South America,Black,Diesel,Automatic,4.3,144474,6383,Low,11
5 Series,Africa,Red,Petrol,Automatic,1.7,187853,1272,Low,13
M3,North America,Red,Electric,Automatic,4.0,32215,812,Low,6
X5,Middle East,Blue,Diesel,Manual,2.5,99987,656,Low,6
X5,Europe,Silver,Petrol,Automatic,4.2,149362,5973,Low,12
X1,South America,Black,Hybrid,Automatic,2.5,169728,3417,Low,6
M5,South America,Silver,Petrol,Manual,2.7,10724,9752,High,0
M5,Europe,Red,Hybrid,Manual,2.9,86873,2166,Low,12
X3,Middle East,White,Electric,Automatic,4.1,194398,4645,Low,1
X6,South America,Blue,Electric,Manual,2.0,2828,9691,High,9
M3,South America,Red,Petrol,Automatic,4.7,117674,9577,High,9
X3,Africa,Blue,Electric,Automatic,5.0,132943,7550,High,7
X5,Europe,Grey,Petrol,Manual,2.7,196967,3978,Low,2
X5,North America,Red,Hybrid,Manual,4.2,15243,2393,Low,11
M5,Middle East,Grey,Diesel,Automatic,3.8,91328,2155,Low,3
X5,North America,Black,Hybrid,Manual,2.6,52540,1699,Low,14
i8,North America,Red,Diesel,Automatic,3.4,123103,9259,High,5
M5,Middle East,White,Petrol,Automatic,3.8,145062,4656,Low,4
i8,Europe,Blue,Hybrid,Manual,3.5,27479,2011,Low,14
X6,South America,Silver,Electric,Manual,2.5,173154,696,Low,1
X1,Europe,Silver,Electric,Manual,4.4,90438,7924,High,1
M5,Europe,Silver,Electric,Manual,4.1,121192,5474,Low,10
X6,Asia,Black,Petrol,Automatic,2.2,44297,1363,Low,12
7 Series,Europe,Black,Petrol,Manual,2.3,32717,8833,High,3
i8,Middle East,White,Hybrid,Manual,3.5,22501,5668,Low,11
X3,North America,Blue,Hybrid,Automatic,2.6,50450,3167,Low,10
5 Series,Europe,White,Electric,Automatic,3.5,7482,5985,Low,12
M5,South America,White,Electric,Manual,4.5,35716,999,Low,5
M5,Europe,White,Diesel,Automatic,3.3,177628,8997,High,9
i8,Asia,Silver,Electric,Manual,3.9,16522,6792,Low,7
M3,Asia,Red,Diesel,Automatic,4.7,159117,7557,High,2
X3,Africa,Black,Hybrid,Manual,2.5,66050,8714,High,12
i8,Africa,Red,Diesel,Manual,4.2,125045,394,Low,14
X3,North America,White,Hybrid,Manual,3.0,53225,3518,Low,14
i3,Europe,Grey,Hybrid,Manual,2.3,93898,2432,Low,1
i8,Middle East,Blue,Diesel,Manual,1.9,57536,5832,Low,6
i3,Africa,Silver,Diesel,Automatic,2.4,174190,9938,High,1
X6,Asia,White,Hybrid,Automatic,4.1,172350,2260,Low,7
X1,North America,Red,Hybrid,Manual,3.6,4768,5184,Low,14
3 Series,Middle East,Red,Electric,Automatic,4.7,170421,2647,Low,8
X6,Europe,Black,Petrol,Automatic,4.9,89749,2544,Low,13
X5,North America,Black,Electric,Manual,4.2,115323,1166,Low,13
M5,Middle East,Silver,Hybrid,Manual,3.8,121276,6866,Low,8
7 Series,South America,White,Diesel,Automatic,4.1,141329,233,Low,4
5 Series,Africa,White,Electric,Automatic,2.5,61724,7367,High,3
7 Series,Africa,Blue,Electric,Automatic,4.3,121859,650,Low,2
i3,Africa,White,Electric,Manual,3.9,169219,5238,Low,1
M3,Europe,White,Diesel,Automatic,2.7,95290,9592,High,5
X6,South America,Grey,Petrol,Manual,3.1,67141,7684,High,5
X3,Europe,White,Hybrid,Automatic,3.6,91190,9523,High,7
7 Series,South America,White,Electric,Manual,3.2,96579,9107,High,8
7 Series,Asia,Red,Electric,Automatic,2.2,179464,5818,Low,13
7 Series,South America,Silver,Electric,Manual,4.5,90412,1937,Low,0
7 Series,Europe,Silver,Hybrid,Automatic,2.3,36148,458,Low,14
X1,North America,Blue,Electric,Automatic,4.4,46441,5752,Low,1
X6,South America,Silver,Diesel,Manual,3.6,24994,9372,High,6
X6,South America,White,Hybrid,Automatic,3.4,74899,2046,Low,11
i8,South America,Silver,Electric,Automatic,2.3,170502,5610,Low,9
M5,Africa,Silver,Diesel,Automatic,2.3,161714,1345,Low,6
X6,North America,Silver,Electric,Automatic,2.7,138600,4431,Low,11
X5,Asia,Black,Electric,Automatic,1.9,135997,6018,Low,1
5 Series,South America,Black,Hybrid,Manual,1.9,161725,6058,Low,3
3 Series,Asia,Silver,Hybrid,Manual,3.2,35369,7298,High,4
X5,Middle East,Blue,Diesel,Automatic,3.0,78763,4159,Low,9
X1,North America,Black,Petrol,Manual,3.8,150316,4926,Low,9
i8,South America,Silver,Electric,Manual,3.0,38599,8225,High,8
X3,North America,White,Diesel,Automatic,4.3,74190,9326,High,7
X5,Europe,Silver,Hybrid,Automatic,4.2,33657,1209,Low,3
M3,Asia,Grey,Hybrid,Manual,4.9,138174,5854,Low,10
X6,Europe,Grey,Diesel,Manual,3.2,27440,9962,High,7
5 Series,North America,White,Hybrid,Manual,3.6,93288,6857,Low,7
i8,South America,Red,Electric,Automatic,4.6,28539,2695,Low,13
i8,North America,Red,Diesel,Automatic,2.9,3475,1068,Low,13
X5,North America,Red,Diesel,Automatic,1.7,66520,1213,Low,5
7 Series,South America,Grey,Electric,Automatic,3.9,148723,6033,Low,3
X6,North America,Blue,Petrol,Manual,3.2,172529,8958,High,13
i8,Asia,Silver,Electric,Manual,3.4,159683,1350,Low,1
7 Series,Europe,Blue,Petrol,Automatic,4.7,7660,8811,High,1
X1,North America,Blue,Diesel,Automatic,4.3,49313,9186,High,11
X5,Africa,Silver,Petrol,Manual,4.9,174828,1012,Low,9
3 Series,Africa,Blue,Petrol,Manual,3.9,30204,6849,Low,11
3 Series,North America,Silver,Petrol,Manual,4.8,132979,9502,High,3
i3,North America,Black,Electric,Manual,4.0,193514,4533,Low,0
X3,South America,Red,Hybrid,Automatic,2.5,13101,2790,Low,1
i8,South America,Black,Hybrid,Manual,2.5,7029,8611,High,1
X6,North America,Silver,Electric,Automatic,4.2,183962,9819,High,0
i8,Asia,Blue,Diesel,Automatic,3.9,143836,4579,Low,7
7 Series,Asia,Red,Electric,Automatic,3.3,35627,1344,Low,14
X6,North America,Blue,Hybrid,Automatic,1.5,194625,7780,High,5
X1,North America,White,Diesel,Automatic,3.6,74828,5172,Low,1
i8,Asia,White,Hybrid,Automatic,4.1,131983,810,Low,3
i8,Middle East,Blue,Hybrid,Manual,2.2,4892,6713,Low,11
5 Series,Asia,Red,Electric,Manual,2.9,65113,2402,Low,2
X6,Middle East,Red,Electric,Manual,3.2,145539,3863,Low,10
i8,South America,Grey,Diesel,Automatic,4.5,39920,6670,Low,14
M5,Asia,Blue,Hybrid,Manual,3.0,136229,4317,Low,9
i8,Africa,Silver,Hybrid,Automatic,2.1,198552,3327,Low,1
M3,Middle East,Blue,Hybrid,Automatic,1.7,147747,5719,Low,6
i8,Asia,Grey,Hybrid,Manual,4.3,192860,9873,High,7
i8,North America,Grey,Electric,Automatic,4.3,4787,5640,Low,3
M3,South America,White,Hybrid,Manual,4.4,67860,8781,High,7
i3,North America,White,Electric,Automatic,2.8,186404,9458,High,8
X1,Europe,Black,Diesel,Automatic,4.7,48428,5115,Low,13
X5,Europe,White,Diesel,Manual,4.9,144426,7450,High,13
X3,Europe,White,Diesel,Manual,1.7,196855,908,Low,7
i8,South America,Blue,Electric,Automatic,3.4,118560,8428,High,9
3 Series,North America,Red,Electric,Manual,4.3,19044,3989,Low,10
M5,Europe,Red,Electric,Manual,2.8,166058,7697,High,2
M5,Middle East,Silver,Hybrid,Automatic,2.4,191049,2210,Low,5
X1,North America,Grey,Petrol,Manual,2.7,144871,2483,Low,13
M3,Middle East,Black,Petrol,Automatic,2.7,67965,6529,Low,3
X5,Asia,Blue,Electric,Automatic,4.0,78259,9424,High,5
X1,North America,Silver,Petrol,Automatic,4.5,152836,9419,High,1
i3,Africa,White,Electric,Automatic,4.1,120771,9698,High,0
i3,Asia,White,Diesel,Automatic,4.7,76550,8406,High,13
i3,South America,Blue,Electric,Automatic,4.7,25790,3890,Low,9
i8,Europe,Silver,Electric,Manual,4.4,129713,5039,Low,13
i3,North America,Silver,Electric,Manual,5.0,139663,9959,High,8
5 Series,South America,White,Electric,Manual,2.4,17480,5213,Low,11
X6,South America,White,Electric,Automatic,4.2,191498,6323,Low,10
7 Series,Middle East,Silver,Electric,Automatic,2.2,192651,9991,High,11
5 Series,Middle East,Black,Petrol,Automatic,2.0,30667,9561,High,5
X3,Europe,White,Diesel,Automatic,1.6,76240,9713,High,0
3 Series,Middle East,Red,Diesel,Manual,1.6,162957,8476,High,14
3 Series,South America,Red,Petrol,Manual,4.0,35916,495,Low,1
5 Series,Asia,Grey,Petrol,Automatic,4.3,35114,8574,High,10
X5,Middle East,Red,Hybrid,Automatic,4.6,187432,4942,Low,12
5 Series,Europe,White,Petrol,Automatic,4.3,165560,3957,Low,12
i8,Asia,Black,Diesel,Manual,3.8,12690,8375,High,4
3 Series,Europe,White,Petrol,Automatic,4.8,36181,3614,Low,11
M5,Middle East,White,Electric,Automatic,4.7,55963,8671,High,12
X6,Asia,Silver,Electric,Manual,1.9,64135,3761,Low,7
5 Series,Africa,Silver,Electric,Manual,2.5,50940,7787,High,2
X5,Asia,Black,Electric,Manual,2.2,126146,4745,Low,8
X5,Asia,Grey,Petrol,Manual,3.7,5959,2339,Low,9
7 Series,Africa,Blue,Petrol,Manual,4.5,138542,5832,Low,0
X5,Europe,Red,Hybrid,Automatic,2.7,198142,2815,Low,13
M5,Africa,Grey,Hybrid,Automatic,2.9,79017,4583,Low,0
X6,Europe,Black,Diesel,Manual,3.2,4500,3609,Low,6
5 Series,South America,Black,Electric,Automatic,4.6,147145,2631,Low,1
X5,South America,Blue,Electric,Automatic,3.9,28369,6470,Low,8
5 Series,Asia,Red,Diesel,Automatic,2.7,119595,3729,Low,2
X6,South America,Black,Diesel,Automatic,1.9,71692,6600,Low,11
X5,Middle East,Blue,Hybrid,Manual,3.3,25709,4029,Low,2
5 Series,South America,Grey,Petrol,Manual,4.0,126614,649,Low,13
M5,North America,Silver,Hybrid,Automatic,2.8,60942,4696,Low,2
X1,North America,Blue,Hybrid,Manual,4.1,73525,4686,Low,3
M3,Middle East,Silver,Electric,Manual,1.9,37016,7916,High,1
X1,North America,Blue,Electric,Automatic,5.0,135399,4029,Low,6
3 Series,Middle East,Red,Petrol,Automatic,3.3,106618,1599,Low,9
X3,Asia,White,Petrol,Automatic,2.6,54584,7216,High,11
7 Series,South America,Red,Diesel,Automatic,3.1,26785,5329,Low,6
5 Series,Middle East,Black,Electric,Manual,4.4,30383,9281,High,12
X3,Middle East,Red,Electric,Automatic,4.3,35933,7575,High,10
i8,Middle East,Red,Hybrid,Automatic,1.9,144990,6713,Low,11
M5,Europe,Grey,Petrol,Automatic,1.7,114415,2462,Low,2
7 Series,Europe,White,Electric,Manual,4.7,8782,3732,Low,13
3 Series,North America,Black,Petrol,Automatic,3.6,20405,8182,High,2
i3,South America,Blue,Hybrid,Automatic,4.9,166191,4721,Low,14
5 Series,Middle East,Red,Hybrid,Automatic,2.9,16842,7568,High,4
M3,Asia,Silver,Hybrid,Manual,3.8,105120,1970,Low,3
5 Series,South America,White,Diesel,Automatic,3.9,132755,3674,Low,8
X6,Asia,White,Hybrid,Manual,2.8,12717,1687,Low,8
X6,Middle East,Black,Diesel,Automatic,2.2,118555,7714,High,7
X6,Asia,Grey,Diesel,Automatic,2.8,12821,6854,Low,9
X3,Middle East,Red,Hybrid,Automatic,2.0,32283,6875,Low,4
3 Series,Europe,White,Electric,Automatic,3.4,198476,2034,Low,3
X5,Africa,Blue,Hybrid,Manual,3.7,51403,1612,Low,12
M3,Middle East,Blue,Electric,Automatic,2.7,11874,9273,High,3
i3,Europe,Black,Petrol,Automatic,4.4,105219,1787,Low,14
X6,Africa,Black,Diesel,Automatic,3.8,1228,2799,Low,1
X6,South America,Red,Diesel,Manual,2.4,124844,5503,Low,7
X1,Asia,Grey,Diesel,Automatic,2.1,199235,1194,Low,9
7 Series,North America,Blue,Petrol,Manual,4.5,185222,5030,Low,14
7 Series,Middle East,Red,Electric,Manual,2.1,58133,2320,Low,9
X5,Africa,Blue,Hybrid,Automatic,3.4,20694,8165,High,14
X3,South America,White,Diesel,Manual,4.6,167318,7505,High,0
7 Series,Asia,Black,Electric,Manual,1.8,98566,1650,Low,5
3 Series,Asia,Blue,Electric,Automatic,4.7,191385,3061,Low,11
X1,North America,White,Petrol,Automatic,2.8,60110,9701,High,14
X6,Middle East,Grey,Petrol,Automatic,2.9,20289,6243,Low,11
X6,Europe,White,Hybrid,Automatic,2.0,11406,9622,High,3
3 Series,Middle East,Grey,Petrol,Manual,1.5,29867,2293,Low,5
X3,Asia,Blue,Hybrid,Manual,1.6,126869,5761,Low,4
X5,Europe,Blue,Petrol,Automatic,2.3,175639,8488,High,13
X6,South America,Black,Diesel,Automatic,1.9,175733,4601,Low,5
i3,South America,White,Electric,Automatic,4.1,185242,6612,Low,11
3 Series,Middle East,Black,Electric,Automatic,4.4,185441,3575,Low,0
X3,South America,Red,Hybrid,Automatic,2.0,22425,1400,Low,13
5 Series,South America,Black,Petrol,Automatic,1.7,122630,2836,Low,3
X3,Middle East,Red,Petrol,Manual,4.8,36326,8557,High,8
i3,Asia,Blue,Petrol,Manual,4.5,6805,5802,Low,14
M5,Africa,White,Electric,Manual,3.7,168552,5406,Low,12
M5,Middle East,Silver,Petrol,Automatic,3.4,168089,8074,High,8
i8,Europe,Grey,Electric,Automatic,3.8,102821,5524,Low,4
M5,Africa,White,Hybrid,Automatic,4.0,59626,1561,Low,11
X5,Africa,White,Hybrid,Manual,2.3,147393,8925,High,1
X6,Middle East,White,Hybrid,Automatic,3.4,94313,2608,Low,11
X1,Middle East,White,Petrol,Automatic,3.7,64666,348,Low,12
M3,South America,Grey,Petrol,Automatic,3.0,57423,4146,Low,14
X1,North America,Grey,Diesel,Automatic,1.9,141120,6335,Low,10
X3,South America,Black,Electric,Manual,2.8,18988,8232,High,8
i8,Europe,White,Diesel,Automatic,2.9,148200,3866,Low,3
X1,Africa,Grey,Diesel,Automatic,4.0,10052,3095,Low,4
i8,Middle East,Silver,Electric,Automatic,1.6,146360,9305,High,8
5 Series,Middle East,White,Hybrid,Manual,2.6,150096,3938,Low,9
X6,Middle East,Blue,Hybrid,Manual,2.3,13839,2835,Low,0
7 Series,Europe,Red,Petrol,Manual,3.0,32915,5492,Low,11
i3,South America,Silver,Diesel,Manual,2.9,108731,8956,High,9
M3,Europe,Silver,Electric,Automatic,1.7,31030,5571,Low,12
X6,Middle East,Black,Hybrid,Manual,2.0,104847,1786,Low,9
X5,North America,White,Electric,Automatic,2.7,183196,9813,High,3
X6,Africa,Grey,Petrol,Manual,2.5,149131,5916,Low,7
X6,Middle East,Blue,Petrol,Manual,4.6,192672,5566,Low,2
i8,South America,Silver,Diesel,Automatic,3.1,182239,4378,Low,9
7 Series,South America,White,Petrol,Automatic,1.6,132565,3263,Low,3
i3,Europe,Black,Electric,Manual,3.1,191308,990,Low,5
3 Series,Asia,Blue,Diesel,Manual,2.6,49838,7249,High,3
X5,North America,Red,Hybrid,Automatic,4.5,4350,993,Low,4
5 Series,North America,White,Hybrid,Automatic,4.3,140306,9536,High,2
X3,North America,White,Petrol,Automatic,2.7,72174,3150,Low,12
M5,North America,Silver,Electric,Automatic,3.3,44442,6610,Low,13
X5,Middle East,Grey,Diesel,Manual,1.6,27279,5175,Low,1
X1,Africa,White,Electric,Automatic,4.3,185093,5952,Low,12
M5,Asia,Black,Petrol,Manual,2.7,22803,5020,Low,14
7 Series,South America,Silver,Petrol,Automatic,2.3,134526,3258,Low,14
X5,Middle East,Grey,Electric,Automatic,3.7,110640,8493,High,0
i3,South America,Grey,Electric,Automatic,3.2,46187,2966,Low,9
i8,Europe,Blue,Diesel,Manual,3.2,27328,9961,High,11
i8,Middle East,Silver,Diesel,Manual,4.7,136335,8148,High,0
M3,Africa,Blue,Diesel,Automatic,3.6,123378,8176,High,4
7 Series,Asia,Blue,Hybrid,Automatic,3.2,148669,1105,Low,7
i3,North America,Red,Hybrid,Manual,2.4,104951,1178,Low,9
i8,Middle East,Red,Electric,Automatic,3.7,149371,2284,Low,8
i8,Middle East,White,Electric,Manual,2.5,15916,7583,High,9
M5,South America,Red,Petrol,Manual,4.3,169167,8614,High,4
i8,Asia,Blue,Electric,Manual,3.4,154284,5573,Low,11
X6,North America,Blue,Hybrid,Automatic,4.5,53447,6817,Low,10
i8,South America,White,Electric,Manual,4.6,52155,9659,High,4
M3,North America,Grey,Hybrid,Manual,1.7,115778,8862,High,0
5 Series,Asia,Silver,Electric,Manual,2.8,63421,2068,Low,8
i3,Asia,Blue,Diesel,Manual,2.5,5916,5338,Low,10
M5,Africa,Red,Hybrid,Manual,4.0,58149,7464,High,0
M3,Asia,Blue,Petrol,Manual,4.2,134657,677,Low,9
i8,Europe,White,Electric,Automatic,2.4,81349,413,Low,2
M3,South America,Black,Hybrid,Automatic,4.0,94281,4025,Low,9
M5,South America,Silver,Hybrid,Manual,3.0,15203,6329,Low,14
3 Series,Europe,Black,Hybrid,Automatic,1.6,13953,5317,Low,12
i8,Europe,Blue,Diesel,Manual,2.1,169666,4346,Low,13
M5,Europe,White,Petrol,Manual,2.1,112950,4643,Low,11
i3,Asia,Silver,Hybrid,Automatic,3.9,3111,8928,High,10
M3,Europe,Black,Petrol,Manual,3.0,129020,6908,Low,1
